Sr. no.,Tweets,Scores,Category
2188,"watch this space for more comingsoon 
olaoutstation ghoomoresponsibly",0,Neutral
2189,"followas she begins an epic journey in 7 states with olaoutstation watch this space for more
ghoomoresponsibly",0.11,Positive
2190,its just me amp my sony camera on the road with ola join me on my sustainable tourism adventure staing right,0.33,Positive
2191,thanks for the all the love hima you know weyou too,0.4,Positive
2192,"bengaluru travel at flat fares on your olashare rides only with share pass
now at just 1 
farakpadtahai",0,Neutral
2193,"my road trip around india begins yes im doing it in

 ghoomorespnsibly olaoutstation",0,Neutral
2194,"delhi decongest your city through ridesharing olashare ftw
now get your share pass at just 1 
farakpadtahai",0.083,Positive
2195,"what the farak bothers you the most 
farakpadtahai",-0.33,Negative
2196,a beautiful story on the very brilliant ankit bhati the techie behindbyamp,0.29,Positive
2197,bengaluru if you havent yet heres your chance to get your share pass at just 1farakpadtahai,0,Neutral
2198,"were proud to be panered with mrsuresh 
do you have stories of such amazing ola driver paners share it with us using heroesofola",0.27,Positive
2199,"hampi in all its glory
followon her epic journey across india with olaoutstation ghoomoresponsibly",0.11,Positive
2200,"avail free olashuttle services between domestic amp international airpos and the airpo metro station 
spread the word mumbairains",0.14,Positive
2201,is headed to jaipur next suggest her with the best places to have local food there ghoomoresponsibly olaoutsation,0.1,Positive
2202,"mumbai we have suspended peak pricing in the city 
get home safe mumbairains",0.11,Positive
2203,in gandikota andhrapradesh follow her journey across india with olaoutstation ghoomoresponsibly,0,Neutral
2204,"the best of fusion music to help you unwind 
 now on olaplay
nowplaying",0.25,Positive
2205,,,
2206,day5in rajasthan at samodh palace met villagers amp bought lot of local stuff visit 2 pink city tmrw excited ghoomoresponsibly,0.059,Positive
2207,"khamma ghani
its good to see you being a pa of ghoomoresponsibly byhope you are having a great time here",0.38,Positive
2208,you can try olaoutstation from our app schedule a ride check fares you should be all set let us know if you need any help safe trip,0.13,Positive
2209,"has pledged to golocal have you 
here’s the ola guide to ghoomoresponsibly with olaoutstation",0,Neutral
2210,hey pankhudi does your stupidmansmaphone have the ola app,0,Neutral
2211,brands shud do more such campaigns we need to inspire each other to be responsible tourists great jobampkudos,0.33,Positive
2212,thanks vikram shout out tofor helping us spread the message of responsible travel ghoomoresponsibly olaoutstation,0.27,Positive
2213,the feelings are mutual,0,Neutral
2214,were happy to paner withto promote responsible tourism and offbeat travel ghoomoresponsibly olaoutstation,0.3,Positive
2215,"take a pledge to always honouheheritage when you travel 
ghoomoresponsibly olaoutstation",0,Neutral
2216,heres chapter 2 of the ola guide to ghoomoresponsiblyhas taken the pledge to honouheheritage have you olaoutstation,0,Neutral
2217,"were happy to join hands withto promote responsible tourism ghoomoresponsibly 
olaoutstation",0.33,Positive
2218,has pledged to protecttheplanet have you olaoutstation ghoomoresponsibly,0,Neutral
2219,take a pledge to do your share in protecting our planet ghoomoresponsibly olaoutstation protectourplanet,0.12,Positive
2220,bengaluru ready to fly to mysore on a chaered flight to witness the dasara celebrations heres how you can win,0.25,Positive
2221,"were proud to join hands withto promote responsible tourism
ghoomoresponsibly
olaoutstation",0.33,Positive
2222,take a pledge to preserve the beauty of our country by not littering golitterfree ghoomoresponsibly olaoutstation,0.11,Positive
2223,your prime play rides are getting a lot more fun nowplayingvideos on your olaplay rides,0.22,Positive
2224,"lets pledge to protect the wildlife during our travels 
preservethewildlife
ghoomoresponsibly with olaoutstation",0.12,Positive
2225,"were happy to paner withto promote responsible tourism ghoomoresponsibly 
olaoutstation",0.38,Positive
2226,want to win tickets to the movie spyder we have a contest for you tomorrowand spread the word hyderabad,0.1,Positive
2227,"we suppo responsible tourism do you 
tell us how do you ghoomoresponsibly 
olaoutstation",0.17,Positive
2228,ghoomoresponsibly,0,Neutral
2229,heres howstaed her epic trip across 7 states spreading the message of responsible tourism ghoomoresponsibly,0.18,Positive
2230,"follow the epic journey ofwith olaoutstation at 
ghoomoresponsibly",0,Neutral
2231,this worldtourismday have fun while you travel and ghoomoresponsibly olaoutstation,0.2,Positive
2232,"today is the last day to get your share pass at just 1 and enjoy flat fares on your olashare rides 
farakpadtahai",0.077,Positive
2233,contest ale win tickets to the movie spyder 50 s to begin the contest spyderwithola hyderabad,0.1,Positive
2234,contest alespyderwithola,0,Neutral
2235,hyderabad answer questions around the movie spyder and stand a chance to win couple tickets spyderwithola,0,Neutral
2236,whats mahesh babus name in the movie and where does he work spyderwithola,0.14,Positive
2237,congrats javeed you have won a couples ticket to the movie spyder dm us your phone number and email id,0.1,Positive
2238,who plays the antagonist role in the movie spyder spyderwithola,0,Neutral
2239,congrats you have couple tickets to the movie spyder dm us your email id and phone number spyderwithola,0,Neutral
2240,in which country the famous ciciliya ciciliya song from spyder movie shot spyderwithola,0.11,Positive
2241,congrats you have won couple tickets to the movie spyder dm us your phone number and email id spyderwithola,0.1,Positive
2242,ar murugadoss director of the movie spyder amp sj suryah worked together which movie was it spyderwithola,0.2,Positive
2243,"kudos vinod for setting a great example givewaygivelife
and thanks anup for bringing this to our attention ghoomoresponsibly",0.36,Positive
2244,please share your crn to help us recognize vinod and personally convey our appreciationgivewaygivelife,0.33,Positive
2245,congrats adil you have won tickets to the movie spyder dm us your phone number and email id spyderwithola,0.1,Positive
2246,name mahesh babu’s first movie as a child aist spyderwithola,0,Neutral
2247,congrats you have won couples ticket to the movie spyder dm us your phone number and email id spyderwithola,0.1,Positive
2248,which famous tamil actor was a senior to mahesh babu in loyola college chennai and also played cricket with him spyderwithola,0.15,Positive
2249,congrats you have won couple tickets for the movie spyder dm us your phone number and email id spyderwithola,0.1,Positive
2250,which famous mall in hyderabad is shown in the first scene of the spyders teaser spyderwithola,0.11,Positive
2251,congrats you have won tickets to the movie spyder dm us your email id and phone number spyderwithola,0.11,Positive
2252,where do mahesh amp rakul agree to talk in the trailer of the movie spyder spyderwithola,0,Neutral
2253,congrats you have won tickets to the movie spyder dm us your email id and phone number spyderwithola,0.11,Positive
2254,mahesh babu has mentioned about two movies of santhosh sivan his favorite cinematographer can you name the movies spyderwithola,0.077,Positive
2255,congrats you have won couple tickets to the movie spyder dm us your phone number and email id spyderwithola,0.1,Positive
2256,last question guys the movie spyder had a different working title which also staed with s guess the title spyderwithola,0,Neutral
2257,congrats you have won a couple tickets to the movie spyder dm us your phone number and email id spyderwithola,0.1,Positive
2258,agreed responsible tourism is the need of the hour we had also panered withto spread this message ghoomoresponsibly,0.091,Positive
2259,nice catch not just that we also suppo golocal respectthehost golitterfree and protecttheplanet ghoomoresponsibly,0.2,Positive
2260,happy worldtourismday people heres olas guide to ghoomoresponsibly in collaboration with 7 states and,0.22,Positive
2261,on this worldtourismday i urge you to have fun while you travel but ghoomoresponsibly olaoutstation,0.17,Positive
2262,"free wifi inolaauto 



",0.33,Positive
2263,not just bengaluru its available everywhere including chennai machi olaautoda,0.25,Positive
2264,its a fair feedback we will let the team know,0.33,Positive
2265,were happy to paner with assam tourism to promote responsible tourismghoomoresponsibly olaoutstation,0.38,Positive
2266,this festive season get going for pandal hopping with olarentals mahaashtami,0.29,Positive
2267,bengaluru we’ve got some irresistible deals on your share rides throughout the day all week longfarakpadtahai,0.091,Positive
2268,"mumbai we have suspended peak pricing on all rides from elphinstone 
share your rides to help more people reach their destinations",0.083,Positive
